Hour,Temperature (C),Humidity (%),Seasons,Holiday,Functioning Day,Precipitation,Day,Month,Year
5,3.9,75,1,0,1,0,3,12,2017
6,3.4,86,1,0,1,1,3,12,2017
7,3.1,91,1,0,1,0,3,12,2017
8,3.2,92,1,0,1,0,3,12,2017
9,3.5,91,1,0,1,1,3,12,2017
10,4.4,89,1,0,1,0,3,12,2017
11,5.1,87,1,0,1,0,3,12,2017
12,5.8,85,1,0,1,0,3,12,2017
13,6.8,81,1,0,1,0,3,12,2017
14,7.6,76,1,0,1,0,3,12,2017
15,8.0,73,1,0,1,0,3,12,2017
16,7.6,77,1,0,1,0,3,12,2017
17,6.7,82,1,0,1,0,3,12,2017
18,6.0,84,1,0,1,0,3,12,2017
19,5.7,85,1,0,1,0,3,12,2017
20,5.2,87,1,0,1,0,3,12,2017
21,4.7,87,1,0,1,0,3,12,2017
22,4.3,89,1,0,1,0,3,12,2017
23,3.9,90,1,0,1,0,3,12,2017
0,4.2,88,1,0,1,0,4,12,2017
1,4.3,87,1,0,1,0,4,12,2017
2,4.4,87,1,0,1,0,4,12,2017
3,3.6,85,1,0,1,0,4,12,2017
4,2.8,89,1,0,1,0,4,12,2017
5,2.0,83,1,0,1,0,4,12,2017
6,1.2,76,1,0,1,1,4,12,2017
7,0.2,68,1,0,1,0,4,12,2017
8,-0.8,69,1,0,1,0,4,12,2017
9,-1.5,47,1,0,1,0,4,12,2017
10,-1.1,40,1,0,1,0,4,12,2017
11,-0.5,41,1,0,1,0,4,12,2017
12,-0.3,38,1,0,1,0,4,12,2017
13,0.0,30,1,0,1,0,4,12,2017
14,0.1,27,1,0,1,0,4,12,2017
15,-0.1,25,1,0,1,0,4,12,2017
16,-0.2,23,1,0,1,0,4,12,2017
17,-1.3,26,1,0,1,0,4,12,2017
18,-2.1,29,1,0,1,0,4,12,2017
19,-2.9,32,1,0,1,0,4,12,2017
20,-3.6,38,1,0,1,0,4,12,2017
21,-4.6,43,1,0,1,0,4,12,2017
22,-5.3,45,1,0,1,0,4,12,2017
23,-5.8,44,1,0,1,0,4,12,2017
0,-6.1,42,1,0,1,0,5,12,2017
1,-6.5,41,1,0,1,0,5,12,2017
2,-6.8,41,1,0,1,0,5,12,2017
3,-6.9,39,1,0,1,0,5,12,2017
4,-7.2,34,1,0,1,0,5,12,2017
5,-7.4,33,1,0,1,0,5,12,2017
6,-7.4,34,1,0,1,0,5,12,2017
7,-7.5,33,1,0,1,0,5,12,2017
8,-8.1,36,1,0,1,0,5,12,2017
9,-7.6,31,1,0,1,0,5,12,2017
10,-5.5,26,1,0,1,0,5,12,2017
11,-3.9,25,1,0,1,0,5,12,2017
12,-2.3,25,1,0,1,0,5,12,2017
13,-1.6,27,1,0,1,0,5,12,2017
14,-1.1,28,1,0,1,0,5,12,2017
15,-0.7,28,1,0,1,0,5,12,2017
16,-0.5,30,1,0,1,0,5,12,2017
17,-1.6,35,1,0,1,0,5,12,2017
18,-2.6,40,1,0,1,0,5,12,2017
19,-3.2,45,1,0,1,0,5,12,2017
20,-3.5,46,1,0,1,0,5,12,2017
21,-3.7,47,1,0,1,0,5,12,2017
22,-2.8,49,1,0,1,0,5,12,2017
23,-2.5,59,1,0,1,0,5,12,2017
0,-2.8,77,1,0,1,1,6,12,2017
1,-3.0,79,1,0,1,1,6,12,2017
2,-3.0,79,1,0,1,1,6,12,2017
3,-3.2,78,1,0,1,1,6,12,2017
4,-3.4,75,1,0,1,1,6,12,2017
5,-3.6,76,1,0,1,1,6,12,2017
6,-3.7,76,1,0,1,1,6,12,2017
7,-4.2,77,1,0,1,1,6,12,2017
8,-4.2,78,1,0,1,1,6,12,2017
9,-3.3,70,1,0,1,1,6,12,2017
10,-0.9,64,1,0,1,1,6,12,2017
11,1.6,57,1,0,1,0,6,12,2017
12,2.4,52,1,0,1,0,6,12,2017
13,4.2,47,1,0,1,0,6,12,2017
14,5.5,34,1,0,1,0,6,12,2017
15,5.5,31,1,0,1,0,6,12,2017
16,5.3,37,1,0,1,0,6,12,2017
17,4.1,60,1,0,1,0,6,12,2017
18,1.7,90,1,0,1,1,6,12,2017
19,1.2,92,1,0,1,1,6,12,2017
20,1.2,94,1,0,1,1,6,12,2017
21,1.1,92,1,0,1,1,6,12,2017
22,1.3,92,1,0,1,1,6,12,2017
23,1.3,92,1,0,1,1,6,12,2017
0,1.4,92,1,0,1,1,7,12,2017
1,1.5,92,1,0,1,1,7,12,2017
2,1.4,92,1,0,1,1,7,12,2017
3,1.9,91,1,0,1,1,7,12,2017
4,1.6,92,1,0,1,1,7,12,2017
5,1.5,92,1,0,1,1,7,12,2017
6,1.0,93,1,0,1,1,7,12,2017
7,0.3,93,1,0,1,1,7,12,2017
8,-0.2,96,1,0,1,1,7,12,2017
9,0.1,91,1,0,1,1,7,12,2017
10,1.1,83,1,0,1,1,7,12,2017
11,2.3,69,1,0,1,1,7,12,2017
12,3.7,65,1,0,1,1,7,12,2017
13,4.1,37,1,0,1,0,7,12,2017
14,4.4,36,1,0,1,0,7,12,2017
15,4.0,35,1,0,1,0,7,12,2017
16,3.2,38,1,0,1,0,7,12,2017
17,2.1,50,1,0,1,0,7,12,2017
18,0.7,46,1,0,1,0,7,12,2017
19,-0.4,47,1,0,1,0,7,12,2017
20,-1.4,47,1,0,1,0,7,12,2017
21,-2.2,46,1,0,1,0,7,12,2017
22,-2.7,48,1,0,1,0,7,12,2017
23,-3.2,50,1,0,1,0,7,12,2017
0,-3.5,49,1,0,1,0,8,12,2017
1,-3.7,50,1,0,1,0,8,12,2017
2,-4.3,53,1,0,1,0,8,12,2017
3,-4.8,52,1,0,1,0,8,12,2017
4,-5.3,53,1,0,1,0,8,12,2017
5,-5.8,56,1,0,1,0,8,12,2017
6,-6.0,56,1,0,1,0,8,12,2017
7,-6.5,57,1,0,1,0,8,12,2017
8,-7.0,59,1,0,1,0,8,12,2017
9,-6.7,50,1,0,1,0,8,12,2017
10,-5.3,44,1,0,1,0,8,12,2017
11,-3.7,39,1,0,1,0,8,12,2017
12,-2.0,30,1,0,1,0,8,12,2017
13,-1.7,28,1,0,1,0,8,12,2017
14,-1.3,27,1,0,1,0,8,12,2017
15,-0.8,26,1,0,1,0,8,12,2017
16,-1.1,24,1,0,1,0,8,12,2017
17,-2.4,30,1,0,1,0,8,12,2017
18,-3.1,33,1,0,1,0,8,12,2017
19,-3.3,35,1,0,1,0,8,12,2017
20,-3.3,34,1,0,1,0,8,12,2017
21,-3.3,35,1,0,1,0,8,12,2017
22,-3.4,39,1,0,1,0,8,12,2017
23,-3.5,43,1,0,1,0,8,12,2017
0,-3.5,48,1,0,1,0,9,12,2017
1,-4.1,49,1,0,1,0,9,12,2017
2,-4.7,50,1,0,1,0,9,12,2017
3,-4.3,47,1,0,1,0,9,12,2017
4,-4.3,49,1,0,1,0,9,12,2017
5,-4.7,49,1,0,1,0,9,12,2017
6,-5.1,53,1,0,1,0,9,12,2017
7,-5.5,56,1,0,1,0,9,12,2017
8,-5.4,56,1,0,1,0,9,12,2017
9,-4.7,48,1,0,1,0,9,12,2017
10,-2.2,42,1,0,1,0,9,12,2017
11,0.0,45,1,0,1,0,9,12,2017
12,2.4,40,1,0,1,0,9,12,2017
13,3.9,36,1,0,1,0,9,12,2017
14,4.7,32,1,0,1,0,9,12,2017
15,5.2,30,1,0,1,0,9,12,2017
16,4.4,33,1,0,1,0,9,12,2017
17,3.5,37,1,0,1,0,9,12,2017
18,2.5,41,1,0,1,0,9,12,2017
19,1.5,48,1,0,1,0,9,12,2017
20,0.8,51,1,0,1,0,9,12,2017
21,-0.1,55,1,0,1,0,9,12,2017
22,-0.5,55,1,0,1,0,9,12,2017
23,-0.1,54,1,0,1,0,9,12,2017
0,-0.2,55,1,0,1,0,10,12,2017
1,-0.2,54,1,0,1,0,10,12,2017
2,0.2,52,1,0,1,0,10,12,2017
3,0.3,53,1,0,1,0,10,12,2017
4,0.4,52,1,0,1,0,10,12,2017
5,0.3,74,1,0,1,1,10,12,2017
6,-0.5,90,1,0,1,1,10,12,2017
7,-0.4,92,1,0,1,1,10,12,2017
8,-0.2,90,1,0,1,1,10,12,2017
9,0.2,90,1,0,1,1,10,12,2017
10,0.5,91,1,0,1,1,10,12,2017
11,0.9,92,1,0,1,1,10,12,2017
12,2.3,88,1,0,1,1,10,12,2017
13,3.3,87,1,0,1,1,10,12,2017
14,4.2,85,1,0,1,1,10,12,2017
15,6.7,63,1,0,1,1,10,12,2017
16,5.4,71,1,0,1,1,10,12,2017
17,3.6,65,1,0,1,1,10,12,2017
18,2.0,61,1,0,1,0,10,12,2017
19,1.6,53,1,0,1,0,10,12,2017
20,0.6,57,1,0,1,0,10,12,2017
21,0.0,59,1,0,1,0,10,12,2017
22,-1.0,56,1,0,1,0,10,12,2017
23,-1.4,43,1,0,1,0,10,12,2017
0,-2.5,39,1,0,1,0,11,12,2017
1,-3.4,36,1,0,1,0,11,12,2017
2,-4.2,35,1,0,1,0,11,12,2017
3,-4.7,38,1,0,1,0,11,12,2017
4,-5.2,35,1,0,1,0,11,12,2017
5,-5.6,38,1,0,1,0,11,12,2017
6,-5.9,39,1,0,1,0,11,12,2017
7,-6.0,39,1,0,1,0,11,12,2017
8,-6.0,38,1,0,1,0,11,12,2017
9,-5.9,36,1,0,1,0,11,12,2017
10,-5.3,32,1,0,1,0,11,12,2017
11,-4.7,36,1,0,1,0,11,12,2017
12,-5.2,33,1,0,1,0,11,12,2017
13,-5.4,32,1,0,1,0,11,12,2017
14,-5.4,31,1,0,1,0,11,12,2017
15,-5.5,33,1,0,1,0,11,12,2017
16,-6.0,40,1,0,1,0,11,12,2017
17,-7.1,44,1,0,1,0,11,12,2017
18,-7.9,43,1,0,1,0,11,12,2017
19,-8.6,45,1,0,1,0,11,12,2017
20,-9.3,49,1,0,1,0,11,12,2017
21,-9.7,51,1,0,1,0,11,12,2017
22,-10.2,50,1,0,1,0,11,12,2017
23,-10.7,53,1,0,1,0,11,12,2017
0,-11.0,51,1,0,1,0,12,12,2017
1,-11.2,51,1,0,1,0,12,12,2017
2,-11.5,50,1,0,1,0,12,12,2017
3,-11.6,50,1,0,1,0,12,12,2017
4,-11.6,47,1,0,1,0,12,12,2017
5,-11.6,45,1,0,1,0,12,12,2017
6,-11.8,47,1,0,1,0,12,12,2017
7,-12.1,50,1,0,1,0,12,12,2017
8,-12.3,52,1,0,1,0,12,12,2017
9,-11.8,46,1,0,1,0,12,12,2017
10,-10.5,45,1,0,1,0,12,12,2017
11,-9.4,42,1,0,1,0,12,12,2017
12,-8.3,35,1,0,1,0,12,12,2017
13,-6.9,37,1,0,1,0,12,12,2017
14,-5.4,32,1,0,1,0,12,12,2017
15,-5.8,30,1,0,1,0,12,12,2017
16,-6.0,29,1,0,1,0,12,12,2017
17,-7.0,32,1,0,1,0,12,12,2017
18,-7.7,36,1,0,1,0,12,12,2017
19,-8.2,43,1,0,1,0,12,12,2017
20,-8.4,42,1,0,1,0,12,12,2017
21,-8.8,43,1,0,1,0,12,12,2017
22,-9.0,45,1,0,1,0,12,12,2017
23,-9.3,47,1,0,1,0,12,12,2017
0,-9.5,48,1,0,1,0,13,12,2017
1,-10.2,52,1,0,1,0,13,12,2017
2,-10.4,53,1,0,1,0,13,12,2017
3,-10.9,55,1,0,1,0,13,12,2017
4,-11.4,58,1,0,1,0,13,12,2017
5,-11.5,58,1,0,1,0,13,12,2017
6,-11.9,57,1,0,1,0,13,12,2017
7,-11.7,53,1,0,1,0,13,12,2017
8,-11.4,47,1,0,1,0,13,12,2017
9,-11.1,46,1,0,1,0,13,12,2017
10,-9.5,39,1,0,1,0,13,12,2017
11,-8.1,35,1,0,1,0,13,12,2017
12,-6.5,30,1,0,1,0,13,12,2017
13,-5.8,28,1,0,1,0,13,12,2017
14,-4.7,27,1,0,1,0,13,12,2017
15,-4.9,26,1,0,1,0,13,12,2017
16,-4.5,26,1,0,1,0,13,12,2017
17,-5.6,29,1,0,1,0,13,12,2017
18,-6.6,33,1,0,1,0,13,12,2017
19,-6.6,31,1,0,1,0,13,12,2017
20,-7.6,35,1,0,1,0,13,12,2017
21,-8.3,39,1,0,1,0,13,12,2017
22,-8.9,39,1,0,1,0,13,12,2017
23,-9.2,44,1,0,1,0,13,12,2017
0,-9.5,50,1,0,1,0,14,12,2017
1,-9.8,48,1,0,1,0,14,12,2017
2,-10.6,44,1,0,1,0,14,12,2017
3,-10.7,48,1,0,1,0,14,12,2017
4,-11.0,50,1,0,1,0,14,12,2017
5,-10.8,48,1,0,1,0,14,12,2017
6,-11.0,55,1,0,1,0,14,12,2017
7,-10.9,57,1,0,1,0,14,12,2017
8,-10.4,54,1,0,1,0,14,12,2017
9,-9.4,44,1,0,1,0,14,12,2017
10,-7.7,43,1,0,1,0,14,12,2017
11,-6.1,38,1,0,1,0,14,12,2017
12,-4.9,34,1,0,1,0,14,12,2017
13,-3.8,32,1,0,1,0,14,12,2017
14,-2.7,28,1,0,1,0,14,12,2017
15,-2.5,29,1,0,1,0,14,12,2017
16,-2.4,28,1,0,1,0,14,12,2017
17,-2.9,31,1,0,1,0,14,12,2017
18,-3.5,35,1,0,1,0,14,12,2017
19,-4.2,40,1,0,1,0,14,12,2017
20,-4.8,43,1,0,1,0,14,12,2017
21,-4.8,45,1,0,1,0,14,12,2017
22,-4.9,44,1,0,1,0,14,12,2017
23,-5.6,53,1,0,1,0,14,12,2017
0,-5.7,53,1,0,1,0,15,12,2017
1,-6.3,57,1,0,1,0,15,12,2017
2,-6.8,58,1,0,1,0,15,12,2017
3,-6.9,56,1,0,1,0,15,12,2017
4,-7.1,59,1,0,1,0,15,12,2017
5,-7.5,64,1,0,1,0,15,12,2017
6,-7.4,64,1,0,1,0,15,12,2017
7,-7.0,63,1,0,1,0,15,12,2017
8,-6.6,64,1,0,1,0,15,12,2017
9,-5.9,60,1,0,1,0,15,12,2017
10,-4.6,52,1,0,1,0,15,12,2017
11,-2.9,46,1,0,1,0,15,12,2017
12,-2.5,43,1,0,1,0,15,12,2017
13,-1.6,40,1,0,1,0,15,12,2017
14,-0.7,39,1,0,1,0,15,12,2017
15,0.1,35,1,0,1,0,15,12,2017
16,0.0,37,1,0,1,0,15,12,2017
17,-0.2,39,1,0,1,0,15,12,2017
18,0.1,43,1,0,1,0,15,12,2017
19,0.6,41,1,0,1,0,15,12,2017
20,0.9,42,1,0,1,0,15,12,2017
21,0.7,47,1,0,1,0,15,12,2017
22,-0.1,49,1,0,1,0,15,12,2017
23,-1.3,60,1,0,1,0,15,12,2017
0,-2.6,73,1,0,1,0,16,12,2017
1,-3.4,76,1,0,1,0,16,12,2017
2,-4.1,73,1,0,1,0,16,12,2017
3,-4.5,71,1,0,1,0,16,12,2017
4,-5.0,70,1,0,1,0,16,12,2017
5,-5.6,72,1,0,1,0,16,12,2017
6,-6.1,69,1,0,1,0,16,12,2017
7,-6.7,64,1,0,1,0,16,12,2017
8,-7.3,62,1,0,1,0,16,12,2017
9,-7.2,47,1,0,1,0,16,12,2017
10,-6.2,42,1,0,1,0,16,12,2017
11,-5.2,30,1,0,1,0,16,12,2017
12,-4.1,28,1,0,1,0,16,12,2017
13,-3.7,23,1,0,1,0,16,12,2017
14,-3.4,22,1,0,1,0,16,12,2017
15,-3.3,22,1,0,1,0,16,12,2017
16,-3.3,24,1,0,1,0,16,12,2017
17,-4.6,26,1,0,1,0,16,12,2017
18,-5.3,28,1,0,1,0,16,12,2017
19,-6.0,32,1,0,1,0,16,12,2017
20,-6.6,37,1,0,1,0,16,12,2017
21,-7.1,39,1,0,1,0,16,12,2017
22,-7.6,41,1,0,1,0,16,12,2017
23,-8.0,41,1,0,1,0,16,12,2017
0,-8.1,41,1,0,1,0,17,12,2017
1,-8.4,40,1,0,1,0,17,12,2017
2,-8.7,40,1,0,1,0,17,12,2017
3,-9.0,40,1,0,1,0,17,12,2017
4,-9.5,40,1,0,1,0,17,12,2017
5,-9.7,41,1,0,1,0,17,12,2017
6,-9.9,42,1,0,1,0,17,12,2017
7,-10.2,42,1,0,1,0,17,12,2017
8,-10.7,43,1,0,1,0,17,12,2017
9,-10.5,38,1,0,1,0,17,12,2017
10,-8.5,31,1,0,1,0,17,12,2017
11,-7.2,29,1,0,1,0,17,12,2017
12,-4.9,25,1,0,1,0,17,12,2017
13,-4.5,25,1,0,1,0,17,12,2017
14,-3.2,26,1,0,1,0,17,12,2017
15,-2.5,28,1,0,1,0,17,12,2017
16,-2.7,31,1,0,1,0,17,12,2017
17,-3.8,35,1,0,1,0,17,12,2017
18,-4.7,37,1,0,1,0,17,12,2017
19,-5.6,39,1,0,1,0,17,12,2017
20,-6.0,42,1,0,1,0,17,12,2017
21,-6.5,45,1,0,1,0,17,12,2017
22,-6.6,50,1,0,1,0,17,12,2017
23,-6.9,53,1,0,1,0,17,12,2017
0,-5.9,50,1,0,1,0,18,12,2017
1,-5.3,48,1,0,1,0,18,12,2017
2,-5.0,65,1,0,1,1,18,12,2017
3,-5.3,76,1,0,1,1,18,12,2017
4,-5.4,81,1,0,1,1,18,12,2017
5,-5.3,81,1,0,1,1,18,12,2017
6,-5.2,85,1,0,1,1,18,12,2017
7,-5.0,85,1,0,1,1,18,12,2017
8,-4.6,86,1,0,1,1,18,12,2017
9,-4.3,89,1,0,1,1,18,12,2017
10,-3.7,87,1,0,1,1,18,12,2017
11,-2.9,85,1,0,1,1,18,12,2017
12,-1.8,83,1,0,1,1,18,12,2017
13,-0.9,84,1,0,1,1,18,12,2017
14,0.5,76,1,0,1,1,18,12,2017
15,1.6,73,1,0,1,1,18,12,2017
16,1.8,76,1,0,1,1,18,12,2017
17,0.4,84,1,0,1,1,18,12,2017
18,0.0,88,1,0,1,1,18,12,2017
19,1.3,65,1,0,1,1,18,12,2017
20,3.3,65,1,0,1,1,18,12,2017
21,2.8,73,1,0,1,1,18,12,2017
22,1.5,82,1,0,1,1,18,12,2017
23,0.1,81,1,0,1,1,18,12,2017
0,-1.0,73,1,0,1,1,19,12,2017
1,-2.0,72,1,0,1,1,19,12,2017
2,-2.7,72,1,0,1,1,19,12,2017
3,-2.8,58,1,0,1,1,19,12,2017
4,-2.9,59,1,0,1,1,19,12,2017
5,-3.9,66,1,0,1,1,19,12,2017
6,-4.3,70,1,0,1,1,19,12,2017
7,-4.4,64,1,0,1,1,19,12,2017
8,-5.2,58,1,0,1,1,19,12,2017
9,-5.3,48,1,0,1,1,19,12,2017
10,-4.6,41,1,0,1,1,19,12,2017
11,-3.5,35,1,0,1,1,19,12,2017
12,-2.5,31,1,0,1,1,19,12,2017
13,-2.2,25,1,0,1,1,19,12,2017
14,-2.2,23,1,0,1,1,19,12,2017
15,-1.3,26,1,0,1,1,19,12,2017
16,-1.8,31,1,0,1,1,19,12,2017
17,-2.7,35,1,0,1,1,19,12,2017
18,-3.8,42,1,0,1,1,19,12,2017
19,-4.5,51,1,0,1,1,19,12,2017
20,-4.9,55,1,0,1,1,19,12,2017
21,-5.0,57,1,0,1,1,19,12,2017
22,-5.5,56,1,0,1,1,19,12,2017
23,-5.8,57,1,0,1,1,19,12,2017
0,-6.5,63,1,0,1,1,20,12,2017
1,-7.3,67,1,0,1,1,20,12,2017
2,-7.8,68,1,0,1,1,20,12,2017
3,-8.1,70,1,0,1,1,20,12,2017
4,-8.5,73,1,0,1,1,20,12,2017
5,-8.3,67,1,0,1,1,20,12,2017
6,-8.2,66,1,0,1,1,20,12,2017
7,-8.1,67,1,0,1,1,20,12,2017
8,-7.8,65,1,0,1,1,20,12,2017
9,-6.7,62,1,0,1,1,20,12,2017
10,-5.4,56,1,0,1,1,20,12,2017
11,-4.2,51,1,0,1,1,20,12,2017
12,-3.2,49,1,0,1,1,20,12,2017
13,-1.3,43,1,0,1,1,20,12,2017
14,-0.5,44,1,0,1,1,20,12,2017
15,-0.2,45,1,0,1,1,20,12,2017
16,-0.5,48,1,0,1,1,20,12,2017
17,-0.9,70,1,0,1,1,20,12,2017
18,-1.4,79,1,0,1,1,20,12,2017
19,-1.5,81,1,0,1,1,20,12,2017
20,-1.9,86,1,0,1,1,20,12,2017
21,-2.0,83,1,0,1,1,20,12,2017
22,-1.6,82,1,0,1,1,20,12,2017
23,-1.1,87,1,0,1,1,20,12,2017
0,-1.3,90,1,0,1,1,21,12,2017
1,-1.8,90,1,0,1,1,21,12,2017
2,-2.2,88,1,0,1,1,21,12,2017
3,-2.9,89,1,0,1,1,21,12,2017
4,-3.6,91,1,0,1,1,21,12,2017
5,-4.3,91,1,0,1,1,21,12,2017
6,-4.8,91,1,0,1,1,21,12,2017
7,-5.3,90,1,0,1,1,21,12,2017
8,-5.6,89,1,0,1,1,21,12,2017
9,-5.3,88,1,0,1,1,21,12,2017
10,-3.0,71,1,0,1,1,21,12,2017
11,-0.7,62,1,0,1,1,21,12,2017
12,1.9,40,1,0,1,1,21,12,2017
13,3.2,42,1,0,1,1,21,12,2017
14,4.3,47,1,0,1,1,21,12,2017
15,4.4,46,1,0,1,1,21,12,2017
16,4.1,51,1,0,1,1,21,12,2017
17,2.9,60,1,0,1,1,21,12,2017
18,1.7,64,1,0,1,1,21,12,2017
19,0.8,71,1,0,1,1,21,12,2017
20,0.2,72,1,0,1,1,21,12,2017
21,-0.4,74,1,0,1,1,21,12,2017
22,-1.1,78,1,0,1,1,21,12,2017
23,-1.5,79,1,0,1,1,21,12,2017
0,-1.7,79,1,1,1,1,22,12,2017
1,-1.6,79,1,1,1,1,22,12,2017
2,-1.1,79,1,1,1,1,22,12,2017
3,-0.6,76,1,1,1,1,22,12,2017
4,-0.3,76,1,1,1,1,22,12,2017
5,-0.2,73,1,1,1,1,22,12,2017
6,-0.1,71,1,1,1,1,22,12,2017
7,-0.3,72,1,1,1,1,22,12,2017
8,-0.4,69,1,1,1,1,22,12,2017
9,0.3,67,1,1,1,1,22,12,2017
10,1.4,64,1,1,1,1,22,12,2017
11,3.1,57,1,1,1,0,22,12,2017
12,4.5,56,1,1,1,0,22,12,2017
13,5.4,55,1,1,1,0,22,12,2017
14,5.9,55,1,1,1,0,22,12,2017
15,6.5,55,1,1,1,0,22,12,2017
16,6.0,58,1,1,1,0,22,12,2017
17,5.4,61,1,1,1,0,22,12,2017
18,4.9,63,1,1,1,0,22,12,2017
19,5.2,64,1,1,1,0,22,12,2017
20,5.9,67,1,1,1,0,22,12,2017
21,6.1,70,1,1,1,0,22,12,2017
22,6.1,70,1,1,1,0,22,12,2017
23,5.8,74,1,1,1,0,22,12,2017
0,5.8,75,1,0,1,0,23,12,2017
1,5.7,75,1,0,1,0,23,12,2017
2,5.6,76,1,0,1,0,23,12,2017
3,5.4,77,1,0,1,0,23,12,2017
4,5.3,79,1,0,1,0,23,12,2017
5,5.0,81,1,0,1,0,23,12,2017
6,5.1,81,1,0,1,0,23,12,2017
7,5.1,82,1,0,1,0,23,12,2017
8,5.1,83,1,0,1,0,23,12,2017
9,5.2,84,1,0,1,0,23,12,2017
10,5.4,82,1,0,1,0,23,12,2017
11,5.7,81,1,0,1,0,23,12,2017
12,7.0,72,1,0,1,0,23,12,2017
13,7.7,68,1,0,1,0,23,12,2017
14,8.6,63,1,0,1,0,23,12,2017
15,8.6,64,1,0,1,0,23,12,2017
16,8.2,64,1,0,1,0,23,12,2017
17,7.7,67,1,0,1,0,23,12,2017
18,6.6,73,1,0,1,0,23,12,2017
19,6.0,76,1,0,1,0,23,12,2017
20,5.9,75,1,0,1,0,23,12,2017
21,5.6,77,1,0,1,0,23,12,2017
22,5.3,79,1,0,1,0,23,12,2017
23,5.5,80,1,0,1,0,23,12,2017
0,5.6,78,1,1,1,0,24,12,2017
1,5.6,78,1,1,1,0,24,12,2017
2,5.4,80,1,1,1,0,24,12,2017
3,5.2,82,1,1,1,0,24,12,2017
4,5.2,82,1,1,1,0,24,12,2017
5,5.1,82,1,1,1,0,24,12,2017
6,4.9,84,1,1,1,1,24,12,2017
7,4.7,89,1,1,1,0,24,12,2017
8,4.6,91,1,1,1,0,24,12,2017
9,4.6,94,1,1,1,1,24,12,2017
10,4.8,96,1,1,1,0,24,12,2017
11,4.6,95,1,1,1,0,24,12,2017
12,4.1,91,1,1,1,1,24,12,2017
13,3.7,90,1,1,1,0,24,12,2017
14,3.3,90,1,1,1,0,24,12,2017
15,2.9,90,1,1,1,1,24,12,2017
16,2.3,91,1,1,1,0,24,12,2017
17,2.2,86,1,1,1,0,24,12,2017
18,1.9,82,1,1,1,1,24,12,2017
19,1.1,68,1,1,1,0,24,12,2017
20,0.6,67,1,1,1,0,24,12,2017
21,0.4,69,1,1,1,0,24,12,2017
22,0.2,69,1,1,1,0,24,12,2017
23,0.0,63,1,1,1,0,24,12,2017
0,-0.6,64,1,1,1,0,25,12,2017
1,-1.2,57,1,1,1,0,25,12,2017
2,-1.8,53,1,1,1,0,25,12,2017
3,-2.3,52,1,1,1,0,25,12,2017
4,-3.0,51,1,1,1,0,25,12,2017
5,-3.7,51,1,1,1,0,25,12,2017
6,-4.1,50,1,1,1,0,25,12,2017
7,-4.6,46,1,1,1,0,25,12,2017
8,-4.9,44,1,1,1,0,25,12,2017
9,-4.6,40,1,1,1,0,25,12,2017
10,-3.7,35,1,1,1,0,25,12,2017
